Latitude,Longitude
34.2512489,-86.2361744
38.9595078,-84.3879946
32.944012,-85.9538532
33.3487225,-86.23858469999999
33.656468,-85.7461548
34.8005575,-86.8822445
34.0217639,-86.0885852
33.2891965,-86.96240859999999
33.389869,-86.9523954
33.5022594,-86.74666610000001
33.449373,-86.8671989
33.489895,-86.8094808
33.4514846,-86.7315785
33.6226176,-86.64599439999999
33.4165524,-86.681253
33.3639393,-86.8119917
33.4165524,-86.681253
33.5022594,-86.74666610000001
33.5394261,-86.67118169999999
33.3639393,-86.8119917
33.5022594,-86.74666610000001
31.1051779,-87.0721918
34.1520406,-85.67885310000001
31.4651653,-88.2544557
31.0907338,-88.2280622
33.7598291,-87.18333489999999
34.2207322,-86.72151749999999
34.1748208,-86.8436124
32.831238,-85.76356919999999
32.831238,-85.76356919999999
30.6035255,-87.9036047
30.6035255,-87.9036047
30.6035255,-87.9036047
34.5363567,-86.9223432
34.627813,-87.0424393
31.2070554,-85.49941919999999
31.96934529999999,-85.1686743
30.5229719,-87.9033261
30.5229719,-87.9033261
30.4065868,-87.6835974
30.4065868,-87.6835974
33.708276,-85.7922905
34.4442547,-85.7196893
31.3400515,-85.7153754
34.0530094,-85.9406745
33.9194738,-85.9406745
33.9194738,-85.9406745
33.9194738,-85.9406745
33.9194738,-85.9406745
33.6589518,-86.9724198
31.8295972,-86.6177517
31.8295972,-86.6177517
33.9656594,-87.91474939999999
30.2460361,-87.70081929999999
30.2460361,-87.70081929999999
30.25,-87.7
30.25,-87.7
34.4434282,-86.9352842
34.2009283,-86.2969248
34.6701872,-86.5501654
34.6701872,-86.5501654
34.6701872,-86.5501654
34.8043559,-86.61071059999999
30.5072344,-88.2242084
33.9236931,-87.32149079999999
34.8628637,-87.5375253
30.6182476,-87.75304539999999
32.3774753,-86.3630197
33.345078,-87.0140057
30.6784935,-88.3433623
30.6182423,-88.1388989
30.6784935,-88.3433623
32.3822577,-86.1914604
32.3482305,-86.09554430000001
32.3512837,-86.2412543
32.3822577,-86.1914604
32.3822577,-86.1914604
34.7448112,-87.66752919999999
