Latitude,Longitude
34.2950568,-86.1966382
38.9596999,-84.3929766
32.79466,-85.9746924
33.4341343,-86.3011609
31.3169886,-86.51197429999999
33.651657,-85.8186553
33.7312231,-85.8727428
34.345054,-86.496672
34.877121,-86.87492499999999
31.0243485,-87.47909229999999
34.0101502,-86.0977563
32.54393,-85.50562099999999
32.6235807,-85.441803
33.3318025,-86.9737411
33.3318025,-86.9737411
33.3318025,-86.9737411
33.366006,-86.991271
33.4302833,-86.9608519
33.4191309,-86.87841139999999
33.4976101,-86.7675335
33.4191309,-86.87841139999999
33.5088513,-86.7754825
33.4194099,-86.7476324
33.3681968,-86.8030495
33.4011016,-86.669718
33.645412,-86.642027
33.4293835,-86.65082989999999
33.3975159,-86.74935330000001
33.4081639,-86.71707590000001
33.494357,-86.739266
33.52724540000001,-86.6531069
33.3417371,-86.82712939999999
33.4520931,-86.7745938
33.4391816,-86.6138655
33.4976101,-86.7675335
31.2069927,-87.0611778
34.117331,-85.6575569
31.464973,-88.25443570000002
31.0734353,-88.3094747
33.7782181,-87.13909699999999
34.2502711,-86.66955130000001
34.225786,-86.888998
32.7087871,-85.88246439999999
32.7087871,-85.88246439999999
30.6692414,-87.85755859999999
30.6692414,-87.85755859999999
30.6692414,-87.85755859999999
30.6491892,-87.89577609999999
30.2473634,-88.116259
34.5189515,-86.9315711
34.5666199,-86.9671082
34.594245,-86.9588232
32.5004418,-87.8595996
31.2302714,-85.4979637
31.2302714,-85.4979637
31.223752,-85.415538
31.2302714,-85.4979637
31.8220502,-85.1547769
31.8885522,-85.1725289
31.9847761,-85.1067996
31.43416539999999,-86.95455899999999
30.571475,-87.887208
30.5141217,-87.8447238
34.81793870000001,-85.6562316
34.8129992,-87.7136754
34.7838951,-87.684
30.3632897,-87.6370058
30.3632897,-87.6370058
33.7257961,-85.7902323
34.5092267,-85.6880226
31.3296743,-85.7117672
33.975245,-86.013363
33.6610116,-86.78323290000002
33.884917,-85.921723
33.884917,-85.921723
33.884917,-85.921723
33.959332,-85.947604
33.6337688,-86.9409222
33.6337688,-86.9409222
33.6337688,-86.9409222
31.8976992,-86.6862165
31.8976992,-86.6862165
31.8976992,-86.6862165
34.0403901,-87.970179
30.304966,-87.66643499999999
30.311875,-87.68336409999999
30.235522,-87.89525549999999
30.2528484,-87.7713995
30.2528484,-87.7713995
30.2528484,-87.7713995
30.304966,-87.66643499999999
30.2700678,-87.7000044
34.3946501,-86.25574809999999
34.2645576,-85.40624799999999
34.282769,-87.6057043
33.3207515,-86.3995066
34.3866556,-86.8652208
34.168988,-86.37263999999999
34.65660099999999,-86.54455999999999
34.65660099999999,-86.54455999999999
34.65660099999999,-86.54455999999999
34.7488665,-86.6118256
34.6583612,-86.7737051
30.4479195,-88.22885640000001
33.914446,-87.28981
34.8594135,-87.4915513
33.516423,-86.5906163
30.6908666,-87.7238286
32.388385,-86.34977099999999
32.388385,-86.34977099999999
33.2726062,-87.0832314
34.8694289,-86.59469
30.7080689,-88.1637927
30.6090506,-88.1267884
30.6266941,-88.0606126
30.6438796,-88.1315321
30.6870019,-88.1354984
33.1028638,-86.87394309999999
32.3795833,-86.1454979
32.403028,-86.26706899999999
32.4911311,-86.121731
32.40237340000001,-86.2177418
32.3520572,-86.28068739999999
32.4007846,-86.1899492
32.3489042,-86.1506265
34.4300533,-87.31212219999999
34.7301787,-87.6536723
33.2938957,-87.6378713
32.6789455,-85.4224935
32.6789455,-85.4224935
32.6017175,-85.4167748
34.6567,-86.4616999
34.6567,-86.4616999
31.4748746,-85.61651859999999
0.0,0.0
33.5195119,-86.2722234
32.4901564,-85.1357603
32.5036453,-85.0325704
33.7710277,-86.6688202
30.4840182,-87.9344192
30.4840182,-87.9344192
32.443134,-86.39493960000001
32.436055,-86.4494468
34.494447,-85.848158
34.4622433,-88.14406660000002
34.6985763,-86.66879329999999
34.6985763,-86.66879329999999
34.6985763,-86.66879329999999
34.8256425,-87.2947417
34.5844939,-86.0834696
32.4913199,-87.10856749999999
32.4060976,-87.05132189999999
30.7371037,-88.2139142
30.7371037,-88.2139142
33.21838640000001,-86.24288849999999
33.4418781,-86.051673
31.8018895,-85.9572283
33.60319339999999,-86.5560017
33.2069982,-87.58390969999999
33.2709358,-87.50278349999999
33.1586971,-87.56029130000002
33.1995699,-87.5537866
33.154854,-87.4672973
34.4224791,-86.56517699999999
37.5336839,-95.8148124
33.4914467,-86.6818906
0.0,0.0
0.0,0.0
0.0,0.0
60.5600295,-151.1895132
61.5830454,-149.0848259
61.51743299999999,-149.620976
33.3854663,-111.5625224
32.7613319,-111.6624419
36.9058774,-113.9318974
31.34204,-109.943185
34.9872347,-114.5861739
33.8234752,-111.9247875
33.8228976,-111.9085656
33.8234752,-111.9247875
32.8794725,-111.8477374
32.9127794,-111.7749046
33.8327718,-111.9567215
33.7563074,-111.9857383
33.2515426,-111.8710147
33.2515426,-111.8710147
33.22626960000001,-111.8464213
33.3051366,-111.845873
34.0494469,-118.3116241
33.2155667,-111.8094557
33.2515426,-111.8710147
34.4016134,-109.6552247
34.7270242,-111.9642051
31.956498,-110.7717723
34.5601578,-112.2577746
34.5581176,-112.2660034
31.4654495,-109.5450771
33.5843585,-112.3205367
