Latitude,Longitude
32.5704036,-96.76010570000001
29.6657838,-95.0193728
27.5305671,-99.48032409999999
29.356348,-98.11556329999999
29.4947986,-95.09110620000001
30.4569275,-97.9701846
33.058024,-96.9799755
32.5156971,-95.4093998
33.580247,-102.0946818
33.47561,-101.9233964
33.655501,-101.7751709
31.3382406,-94.729097
31.3382406,-94.729097
32.5631924,-97.1416768
32.5631924,-97.1416768
30.5782446,-98.2728003
31.5423911,-96.8336015
26.1706746,-98.2541155
26.1706746,-98.2541155
26.1706746,-98.2541155
33.1799688,-96.6958939
33.1799688,-96.6958939
33.1799688,-96.6958939
33.1799688,-96.6958939
33.1799688,-96.6958939
26.1497977,-97.91361119999999
32.824634,-96.6317461
32.0555791,-102.2319048
32.0555791,-102.2319048
32.0555791,-102.2319048
32.0688848,-102.0946818
32.0688848,-102.0946818
32.8084605,-98.1128223
26.2159066,-98.32529319999999
26.2159066,-98.32529319999999
29.4773092,-95.5302337
30.3882613,-95.69633549999999
30.3882613,-95.69633549999999
30.3882613,-95.69633549999999
31.60323,-94.65507
31.6035129,-94.6554874
30.3879845,-96.0877349
29.7049806,-98.06834300000001
29.7049806,-98.06834300000001
29.7049806,-98.06834300000001
30.0929879,-93.7365549
30.0929879,-93.7365549
32.2745983,-94.9785515
35.5361559,-100.9598709
30.3810404,-95.4935526
30.3810404,-95.4935526
33.6609389,-95.55551299999999
29.5321026,-95.3207069
29.5800207,-95.27889259999999
29.5321026,-95.3207069
36.40003129999999,-100.8026505
26.1947962,-98.1836216
33.0243206,-96.6745042
29.9051634,-93.8960811
30.1044506,-95.2364276
27.8772463,-97.3238805
33.759271,-96.6694402
32.9103998,-96.13552949999999
26.0395222,-97.5563763
29.5385377,-98.2821589
32.9971512,-96.6584666
32.9971512,-96.6584666
29.5044684,-95.70892409999999
29.5044684,-95.70892409999999
29.5044684,-95.70892409999999
29.5044684,-95.70892409999999
32.0959744,-98.96367099999999
32.858216,-96.41838500000001
29.3522632,-95.46027629999999
30.9471278,-97.53862040000001
31.0640841,-94.03574499999999
31.0640841,-94.03574499999999
31.4637723,-100.4370375
31.4637723,-100.4370375
31.48468119999999,-100.4508956
29.6451457,-98.47327179999999
29.5269768,-98.61057029999999
29.4651184,-98.6765618
29.5516834,-98.49522280000001
29.6451457,-98.47327179999999
29.6614395,-98.66555919999999
29.4542542,-98.44309969999999
29.3887899,-98.61057029999999
29.4418162,-98.4801308
29.39,-98.58
29.2982317,-98.49522280000001
29.53896599999999,-98.42390549999999
29.5516834,-98.49522280000001
29.3979578,-98.4677851
29.6451457,-98.47327179999999
29.4489141,-98.39101269999999
29.4747162,-98.3471781
29.8832749,-97.9413941
31.1957234,-98.718098
29.7807878,-96.1571833
29.5688411,-97.9647269
32.7189926,-102.6449101
33.9726788,-98.5089455
29.680956,-95.9812748
30.0314279,-95.5302337
30.0799405,-95.41716009999999
30.0314279,-95.5302337
29.8405513,-98.4104996
29.6185208,-95.6090009
29.5662952,-95.6142558
29.6185208,-95.6090009
29.6185208,-95.6090009
33.1384479,-95.6010668
31.1990792,-97.4408397
31.0982344,-97.342782
33.526533,-94.1309067
29.38527629999999,-94.9247074
32.9979014,-97.1836246
32.9979014,-97.1836246
32.2556612,-95.3207069
28.9324595,-97.0283383
28.9324595,-97.0283383
31.5140575,-97.15209259999999
31.5343579,-97.19519129999999
31.5348439,-97.286868
32.3782774,-96.7708138
32.7522671,-97.7905758
26.1595194,-97.9908366
33.9346093,-98.539144
30.4249276,-95.47994179999999
32.7626286,-97.6505822
33.0151201,-96.5388789
31.9066538,-102.2662372
31.9066538,-102.2662372
41.5102129,-112.0155015
39.3521777,-112.57717
40.5246711,-111.8638226
41.3007423,-111.8127212
40.9698029,-111.9164779
39.0935829,-111.1332247
41.0321662,-111.9021622
41.946878,-111.3935397
41.1225148,-111.9939817
37.1752607,-113.2899484
37.0474855,-112.5263145
41.0709042,-111.9880199
41.0709042,-111.9880199
40.3916172,-111.8507662
40.7091121,-112.1016088
40.5121772,-111.4743545
41.03605599999999,-111.6768769
40.6620696,-111.8866683
40.6609843,-111.9164779
40.8458036,-111.9343636
41.223,-111.9738304
41.1859156,-111.8926303
40.6460622,-111.4979729
40.0443989,-111.7321518
40.2120325,-111.6302998
40.2338438,-111.6585337
41.1768888,-112.0038311
40.4818161,-111.9403254
40.299403,-109.9887605
37.0441957,-113.5490415
37.19633719999999,-113.5966577
37.19633719999999,-113.5966577
40.7060732,-111.7376178
40.7834328,-111.7376178
40.7060732,-111.7376178
40.5510478,-111.7376178
41.8382622,-111.8327229
40.114955,-111.654923
41.0893878,-112.0646657
40.4555157,-109.5287479
41.6385432,-111.9338342
40.5934061,-111.9641728
43.80012989999999,-73.0910171
43.2628476,-72.5951082
44.5439375,-73.1479068
44.4905433,-73.11122069999999
44.3131169,-73.0730298
43.6775677,-72.77982469999999
43.1635317,-73.07300160000001
43.1635317,-73.07300160000001
44.6620891,-73.1240103
44.9364356,-72.2051022
44.8113194,-72.2025287
43.7297776,-72.9998909
44.2019646,-72.50846779999999
43.5170325,-73.2362261
43.6469207,-72.4183
43.6106237,-72.9726065
44.4193374,-72.0155425
44.3836193,-73.2267062
44.4493489,-73.1607806
43.2984078,-72.4823117
44.4654332,-72.6874023
43.1134411,-72.90813
43.1134411,-72.90813
44.118347,-72.8576681
42.9388987,-72.8518476
42.8936955,-72.8751786
43.6312401,-72.5441445
36.70983349999999,-81.9773482
38.770387,-77.0622028
38.7871215,-77.1197521
38.8218452,-77.15426839999999
38.7240446,-77.10824439999999
37.3570894,-78.8252911
38.8565647,-77.0967357
38.9105302,-77.1197521
37.7590318,-77.47998369999999
38.8130253,-78.8042828
37.2295733,-80.4139393
37.22094939999999,-80.42280099999999
37.080428,-77.99722589999999
37.252617,-81.2712105
37.252617,-81.2712105
36.5864404,-78.1450412
36.595141,-82.1888089
38.7492726,-77.57340479999999
37.0501416,-78.9441801
37.9731335,-76.5603828
36.89010469999999,-82.2795854
38.8629803,-77.4816693
38.8629803,-77.4816693
38.9016401,-77.4587239
38.0293059,-78.47667810000002
38.0293059,-78.47667810000002
38.0293059,-78.47667810000002
36.7578013,-76.2131474
